makespan,elapsed_time
142, 6.00
142, 7.00
140, 6.00
142, 6.00
138, 6.00
142, 7.00
142, 5.00
142, 7.00
140, 7.00
140, 6.00
138, 6.00
138, 6.00
142, 6.00
140, 6.00
140, 7.00
138, 6.00
142, 7.00
138, 6.00
140, 7.00
140, 7.00
138, 6.00
140, 5.00
142, 7.00
140, 5.00
140, 7.00
140, 7.00
142, 7.00
140, 6.00
140, 7.00
140, 7.00
