makespan,elapsed_time
176, 12.00
178, 6.00
178, 6.00
176, 9.00
178, 10.00
178, 12.00
178, 8.00
178, 12.00
178, 7.00
178, 6.00
178, 6.00
180, 5.00
180, 6.00
176, 15.00
178, 6.00
178, 7.00
178, 11.00
176, 9.00
178, 7.00
180, 8.00
182, 4.00
176, 12.00
178, 15.00
176, 8.00
182, 5.00
182, 5.00
176, 10.00
178, 7.00
174, 13.00
178, 7.00
